,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
267,2023-09-24,19.67,19.22,19.48,410654.26,8015635.64,19.36,direct,
268,2023-09-25,19.74,19.1,19.36,858896.0,16737951.03,19.39,direct,
269,2023-09-26,19.51,18.84,19.39,846679.45,16268094.95,19.02,direct,
270,2023-09-27,19.46,18.74,19.02,1372952.7,26271842.25,19.12,direct,
271,2023-09-28,20.03,19.09,19.12,1544820.78,30020126.04,19.98,direct,
272,2023-09-29,20.45,19.86,19.98,905087.12,18287661.5,20.27,direct,
273,2023-09-30,21.79,20.09,20.27,1321666.39,27753526.18,21.36,direct,
274,2023-10-01,24.46,21.14,21.36,2233871.47,51515877.22,23.86,direct,
275,2023-10-02,24.74,22.92,23.86,2408171.34,57631896.87,23.36,direct,
276,2023-10-03,24.73,23.23,23.36,1850792.47,44313437.63,23.61,direct,
277,2023-10-04,23.83,22.61,23.61,1435741.8,33230796.08,23.14,direct,
278,2023-10-05,23.88,22.59,23.14,1162725.38,26913048.75,22.69,direct,
279,2023-10-06,23.76,22.67,22.69,1178779.29,27488403.68,23.43,direct,
280,2023-10-07,24.18,23.11,23.43,739403.07,17404929.6,23.31,direct,
281,2023-10-08,23.64,23.09,23.31,440585.97,10295141.16,23.24,direct,
282,2023-10-09,23.37,21.65,23.24,1136882.41,25496746.65,22.1,direct,
283,2023-10-10,22.48,21.71,22.1,774347.69,17074119.8,22.11,direct,
284,2023-10-11,22.4,21.61,22.11,1142643.46,25221990.12,22.01,direct,
285,2023-10-12,22.03,20.96,22.01,916509.56,19583055.27,21.29,direct,
286,2023-10-13,22.19,21.11,21.29,870966.29,18821343.42,21.84,direct,
287,2023-10-14,22.23,21.81,21.84,396634.65,8730327.7,22.0,direct,
288,2023-10-15,22.17,21.67,22.0,529238.23,11587038.61,21.94,direct,
289,2023-10-16,24.79,21.91,21.94,2541698.47,59575012.95,23.97,direct,
290,2023-10-17,24.55,23.49,23.97,1674379.25,40260870.09,23.95,direct,
291,2023-10-18,24.41,23.36,23.95,1420938.64,33897231.35,23.42,direct,
292,2023-10-19,25.62,23.15,23.42,2406067.46,59242355.89,24.94,direct,
293,2023-10-20,27.43,24.75,24.94,3468950.93,92114809.85,27.04,direct,
294,2023-10-21,30.27,26.67,27.04,2991552.15,86353042.15,29.33,direct,
295,2023-10-22,30.01,28.1,29.33,1608197.72,46532806.5,29.05,direct,
296,2023-10-23,32.73,28.76,29.05,4378223.71,132600620.07,31.92,direct,
297,2023-10-24,32.58,29.53,31.92,4102788.47,128051981.3,30.18,direct,
298,2023-10-25,33.87,30.01,30.18,3634002.55,117811341.25,32.44,direct,
299,2023-10-26,33.26,30.73,32.44,3602522.13,115265505.83,32.77,direct,
300,2023-10-27,33.34,31.31,32.77,2602715.95,84040760.73,31.74,direct,
301,2023-10-28,32.51,31.41,31.74,895214.24,28597328.1,31.65,direct,
302,2023-10-29,33.16,31.31,31.65,1709954.89,55670650.67,32.84,direct,
303,2023-10-30,35.31,32.47,32.84,2933481.31,100384070.0,34.95,direct,
304,2023-10-31,38.6,34.85,34.95,4650049.16,169712692.65,38.43,direct,
305,2023-11-01,46.84,37.95,38.43,8116786.07,334965726.75,41.17,direct,
306,2023-11-02,44.56,38.67,41.17,4749394.27,197689376.99,40.25,direct,
307,2023-11-03,40.25,38.05,40.25,3296064.46,129114847.09,39.48,direct,
308,2023-11-04,42.75,39.02,39.48,2287886.52,94716495.59,42.44,direct,
309,2023-11-05,42.86,40.3,42.44,2111833.09,87552035.77,41.2,direct,
310,2023-11-06,42.21,39.7,41.2,2754587.45,112100517.99,42.17,direct,
311,2023-11-07,44.74,40.12,42.17,4781663.11,203308997.07,42.95,direct,
312,2023-11-08,43.87,42.28,42.95,2380040.47,102557463.03,43.13,direct,
313,2023-11-09,48.87,42.53,43.13,6781704.76,309437660.84,45.31,direct,
314,2023-11-10,57.63,45.08,45.31,7278326.54,371407805.39,56.72,direct,
315,2023-11-11,63.93,53.63,56.72,7115870.27,415819053.43,56.34,direct,
316,2023-11-12,61.88,54.54,56.34,5073260.37,292290056.31,56.3,direct,
317,2023-11-13,59.83,51.6,56.3,5403756.91,301609244.17,51.61,direct,
318,2023-11-14,57.93,51.31,51.61,5262722.34,288902544.79,56.83,direct,
319,2023-11-15,67.14,56.16,56.83,5620312.18,348592966.36,65.5,direct,
320,2023-11-16,68.16,56.39,65.5,6712799.49,418696390.74,57.78,direct,
321,2023-11-17,60.54,54.13,57.78,4487250.02,259607985.44,58.54,direct,
322,2023-11-18,59.38,54.74,58.54,2839537.88,163809263.96,58.58,direct,
323,2023-11-19,62.18,56.67,58.58,3337724.11,200925705.62,61.13,direct,
324,2023-11-20,61.34,56.04,61.13,3374622.1,198524500.57,56.6,direct,
325,2023-11-21,57.39,51.31,56.6,3993313.41,218119382.59,51.66,direct,
326,2023-11-22,58.93,51.49,51.66,3451493.22,192027796.52,57.58,direct,
327,2023-11-23,59.56,56.16,57.58,2295819.29,132106603.86,56.46,direct,
328,2023-11-24,58.76,56.19,56.46,2232457.82,128511879.05,56.86,direct,
329,2023-11-25,59.76,55.91,56.86,2067644.77,121055670.65,58.83,direct,
330,2023-11-26,59.06,56.18,58.83,1776284.86,102471353.5,57.57,direct,
331,2023-11-27,58.05,53.5,57.57,2500264.88,138158993.79,55.07,direct,
332,2023-11-28,58.7,53.95,55.07,2347668.64,133449361.42,58.21,direct,
333,2023-11-29,61.79,57.75,58.21,3214181.98,192338149.07,59.29,direct,
334,2023-11-30,61.69,58.77,59.29,1684249.99,101024323.81,59.28,direct,
335,2023-12-01,61.89,58.64,59.28,1933755.73,116934396.27,59.78,direct,
336,2023-12-02,63.92,59.7,59.78,1942632.97,120751779.39,63.71,direct,
337,2023-12-03,65.54,62.27,63.71,2599233.83,165325950.81,63.0,direct,
